numero,descripcion,lat_raw,lng_raw,lat,lng,chuva,temperatura,hora,categoria
37,"Praia do Mirante da Sereia/Av. Beira Mar, frente à Rua de principal acesso","09°33’55,51”S","035°38’42,67”W",-9.565419444444446,-35.64518611111111,Não,27.2,08:42h,Própria
38,"Praia de Ipioca/Rua Hilda de Melo Aciole, Frente à Rua de principal acesso e ao lado do Residence Water Front","09°31’51,91”S","035°36’17,47”W",-9.531086111111112,-35.60485277777778,Não,26.9,08:58h,Própria
39,"Praia de Paripueira/Av. Beira Mar, frente a Barraca do Osvaldo","09º28’16,74”S","35º32’55,76”W",-9.471316666666667,-35.54882222222222,Não,30.6,06:04h,Própria
40,"Praia de Paripueira/Rua Jair Mendonça, ± 900 m da rua principal de acesso","09º28’09,6”S","035º32’46,50”W",-9.469333333333333,-35.54625,Não,29.4,06:12h,Própria
41,Praia de Sonho Verde/Frente à ao Condomínio Sonho Verde,"09º27’06,55”S","035º31’46,34”W",-9.451819444444444,-35.52953888888889,Não,28.9,06:19h,Própria
42,"Praia de Barra de Santo Antônio/Rua Projetada Um, frente à entrada do Loteamento Tabuba","09º26’24,69”S","035º31’6,41”W",-9.440191666666667,-35.51844722222222,Não,28.7,06:26h,Própria
43,"Praia de Maré Mansa/Barra de Santo Antônio, Rua Projetada 110, Loteamento Barra Norte","09º25’27,87”S","035º30’12,14”W",-9.424408333333332,-35.503372222222225,Não,29.3,06:38h,Própria
44,"Praia de Barra de Camaragibe/Rua São José, Inicio da Rua Beira Mar","09º18’49,37”S","035º24’53,73”W",-9.31371388888889,-35.414925,Não,30.6,07:12h,Própria
45,"Praia S. Miguel dos Milagres/Rua Prof. Augusto de Barros Falção, frente ao Restaurante Mija Della","09º16’01,72”S","035º21’53,93” W",-9.267144444444446,-35.364980555555555,Não,29.7,07:41h,Própria
46,Praia de Porto da Rua/Rua Agnelo João dos Santos,"09º14’39,58”S","035º20’50,80”W",-9.244327777777777,-35.34744444444445,Não,29.9,08:13h,Própria
47.1,Praia do Patacho/ Rua do Posto Patacho,"09º11’3,67’’S","035º18’2,29” W",-9.184352777777779,-35.30063611111111,Não,30.4,08:36h,Própria
47.2,"Praia de Lages/Acesso Principal, em frente ao Quiosqui Sol, Lua e Mar – 9° 12’ 3,357’’S e 35° 19’ 16,251’’W Não 29,8 08:48h Própria 48 Praia de Porto de Pedras/Frente à Rua Coronel Avelino","09º09’44,47”S","035º17’43,54”W",-9.162352777777778,-35.295427777777775,Não,29.6,08:57h,Própria
49,Praia de Japaratinga/Frente à Acesso a Pousada do Alto,"09°05’39,4”S","035°15’30,5”W",-9.094277777777778,-35.258472222222224,Não,30.7,09:33h,Própria
50,"Praia de Japaratinga/Rua Sebastião Lins de Melo, 41, Frente ao Restaurante Maria Pereira","09º05’19,55”S","035º15’23,38”W",-9.08876388888889,-35.25649444444444,Não,29.9,09:39h,Própria
51,Praia de Maragogi/Frente à Foz do Rio Salgado,"09º04’0,27”S","035º14’32,67”W",-9.066741666666667,-35.24240833333334,Não,30.6,09:52h,Imprópria
52,"Praia de Maragogi/Frente à Escola Manoel M. Costa, Povoado São Bento","09º03’10,25”S","035º14’22,03”W",-9.052847222222223,-35.23945277777778,Não,29.8,10:04h,Própria
53,"Praia de Maragogi/Foz do Rio Maragogi, AL","101 Norte - 09º01’54,14”S","035º13’46,49”W",101.15027777777779,-35.22958055555556,Não,28.6,10:17h,Imprópria
54,"Praia de Maragogi/Av. Senador Rui Palmeira, Frente ao Hotel Areias Belas","09º01’03,79”S","035º13’22,45”W",-9.017719444444445,-35.22290277777778,Não,29.8,10:29h,Própria
55,"Praia de Maragogi/Av. Senador Rui Plameira, Frente ao Restaurante Maragomar","09º00’38,61”S","035º13’06,79”W",-9.010725,-35.21855277777778,Não,29.9,10:38h,Própria
56,"Praia de Maragogi/Barra Grande, frente à Av. Jubarte","08º59’15,8”S","035º11’35,88”’W",-8.98772222222222,-35.193299999999994,Não,30.8,10:51h,Própria
57,Praia de Burgalhau/Frente ao Restaurante Burgalhau – Barra Grande,"08° 59’ 51,69""S","035°12’ 23,92”W",-8.997691666666666,-35.20664444444445,Não,31.0,11:09h,Própria
58,"Praia de Antunes/Barra Grande, Área de frequência de banhistas","08°58’33,10""S","035°10’ 49,74’’W",-8.975861111111112,-35.18048333333333,Não,29.7,11:32h,Própria
59,"Praia de Ponta de Mangue/ Av. Estrela do Mar, frente ao Bar da Praia Porto do Sal","08°57’23,53""S","035°10’21,52""W",-8.956536111111111,-35.172644444444444,Não,29.6,11:51h,Própria
59.1,"Praia Peroba/Frente ao acesso principal, Área de frequência de banhistas",08°56’07”S,035°10’01” W,-8.935277777777777,-35.16694444444444,Não,30.1,12:13h,Própria
60,Praia de Maragogi/Frente à Foz do Rio Persinunga,"08º54’48,80”S","035º09’14,64”W",-8.913555555555556,-35.154066666666665,Não,29.8,12:39h,Imprópria
